,name,rate,review,category,location
28,ژوان,1.0,1,رستوران,رفسنجان،آزادی،بلوار آزادی
29,رستوران بهارستان,null,null,رستوران,رفسنجان،مطهری،خ مطهری ۱۱
30,چلو کباب بناب اسماعیلی,3.0,1,کبابی,رفسنجان،شریعتی،خ مصطفی خمینی
31,فلافل وساندویچ ناخدا ابوعلی,5.0,2,فست‌فود,رفسنجان خیابان امیر کبیر شرقی بعداز درمانگاه امام خمینی(ره)روبروی کوچه ۱۹
32,ساندویچی پرملات,null,null,فست‌فود,رفسنجان،آزادی،بلوار رفسنجانی
33,کبابی دایی حسن,null,null,کبابی,رفسنجان،مطهری،بلوار مطهری
34,رستوران کویر,null,null,رستوران,رفسنجان،آزادی،بلوار رفسنجانی
35,کافه رستوران سنتی باجناق,null,null,رستوران,رفسنجان،شریعتی،خ شهدا،خ پرویز،خ امیرکبیر شرقی ۱۹
36,جگرکی بلوچی,null,null,جگرکی,رفسنجان،مطهری،خ شهید اکبر حسینی نسب،خ مطهری ۱۵
37,کباب بره حسام,null,null,کبابی,رفسنجان بلوار امام علی
38,رستوران فلفل,5.0,1,رستوران,رفسنجان،مطهری،بلوار جمهوری،خ جمهوری ۲۵،خ ابوذر ۲۴/۱
39,کافه باباعلی,null,null,کافه رستوران,رفسنجان جنب بازار قیصریه سفره خانه سنتی باباعلی
40,ساندویچ پیتزا گلبرگ,5.0,1,کافه رستوران,رفسنجان،امام علی،خ امام سجاد
41,باغچه رستوران هشتگ,null,null,رستوران,رفسنجان،آزادی،بلوار آزادی،بوستان نماز
42,مرغ بریان و ساندویچ نمونه,null,null,فست‌فود,رفسنجان،مطهری،بلوار طالقانی
43,ساندویچ اعتماد,null,null,فست‌فود,رفسنجان،خیابان بسیج اسلام اباد
44,فست فود سیب زمینی,null,null,فست‌فود,رفسنجان،مطهری،بلوار طالقانی
45,پیتزا ونوس,null,null,فست‌فود,رفسنجان،شریعتی،خ شریعتی شرقی،خ کارگر
46,تابه کباب,null,null,کبابی,رفسنجان،شریعتی،خ نخعی ۱۴،خ محمدرضایی ۲۶،خ نخعی ۱۲
47,رستوران سنتی سیمرغ,1.0,1,رستوران,رفسنجان خیابان شهید بهشتی حدفاصل مسجد جامع و مسجد جامع
48,رستوران برادران فتحی,5.0,1,رستوران,رفسنجان،مطهری،بلوار مطهری
49,سفره خانه سنتی توکل,1.0,1,سفره خانه‌ی سنتی,رفسنجان،امام علی،خ دهقان رجبی،خ دهقان رجبی،خ شهدای صادق آباد
50,ساندویچی آویژه,null,null,فست‌فود,رفسنجان،مطهری،بلوار مطهری
51,نان ساندویچی معمولی قائم,null,null,فست‌فود,رفسنجان،شریعتی،بلوار اسد آبادی
52,رستوران دنیز,5.0,1,رستوران,رفسنجان،شریعتی،خ دانش‌آموز،خ مصطفی خمینی ۲۸
53,ساندویچ مزه,4.0,1,فست‌فود,رفسنجان،شریعتی،بلوار اقتصاد،خ کارگر ۲۷،خ سید جمال الدین اسد آبادی ۳
54,تاپ تنور,null,null,فست‌فود,رفسنجان،امام علی،خ ابوذر
55,پیتزا ناب,null,null,فست‌فود,رفسنجان،مطهری،میدان شهید قاسم سلیمانی،خ شهدا،خ معلم
56,ساندویچی جردن,5.0,1,فست‌فود,رفسنجان،امام علی،بلوار امام‌علی بین دهقان رجبی ۸ و دهقان رجبی ۶
57,رستوران توکل,3.8,9,رستوران,رفسنجان،ملا صدرا،خ. امیر کبیر شرقی،خ. بهشتی
58,کافه و رستوران سنتی بادگیر,null,null,کافه رستوران,رفسنجان،شریعتی،بلوار اقتصاد،خ امیر کبیر شرقی،خ امام خمینی
59,رستوران بشقاب طلایی,null,null,رستوران,رفسنجان،امام علی،بلوار امام‌علی بین توحید و امام علی ۲۶
60,ساندویچ بهارستان,null,null,فست‌فود,رفسنجان،ملا صدرا،بلوار صدر
61,رُس توران,1.0,1,رستوران,رفسنجان بلوار امام رضا مجموعه خجسته(آگاه)
62,فست فود لیون,5.0,3,فست‌فود,رفسنجان،شریعتی،خیابان مصطفی خمینی،خیابان شهریار
63,رستوران شهرزاد,5.0,1,رستوران,رفسنجان،شریعتی،خ. امام خمینی
64,پیتزا و کنتاکی زیره,null,null,فست‌فود,رفسنجان،ملا صدرا،میدان نهم دی
65,جگرکی کازابلانکا,null,null,جگرکی,رفسنجان،مطهری،بلوار مطهری
66,زیره,4.5,2,فست‌فود,رفسنجان،مصطفی خمینی،خ. میرزایی،میدان نهم دی
67,ساندویچ فانوس,null,null,فست‌فود,رفسنجان،مطهری،بلوار جمهوری
68,رستوران,5.0,1,رستوران,رفسنجان،مطهری،خ. نوری،خ. مطهری
69,فست فود نوید اهوازی,1.0,1,فست‌فود,رفسنجان،امام رضا،میدان قدس،خ امام خمینی،خ ثارالله
70,رستوران گیلانی,4.4,5,رستوران,رفسنجان،شریعتی،بلوار هفده شهریور،خ امام خمینی
71,فست فود کپلی,null,null,فست‌فود,رفسنجان،شریعتی،میدان قدس،خ امام خمینی
72,پیتزا پدر خوب,null,null,فست‌فود,رفسنجان،امام رضا،بلوار امام رضا
73,ساندویچ محسن,null,null,فست‌فود,رفسنجان،مطهری،بلوار مطهری
74,رستوران مائده,null,null,رستوران,رفسنجان،خیابان پاسداران، نبش کوچه ۲
75,آش و حلیم پورحسینی,5.0,3,رستوران,رفسنجان، جنب کوچه مطهری۴،بلوار مطهری
76,کافه رستوران ابوفاضل,null,null,رستوران,رفسنجان،آزادی،بلوار رفسنجانی
77,کباب ساطور بناب (خلیل کبابی),null,null,کافه رستوران,رفسنجان،مطهری،بلوار طالقانی
78,کباب بناب آذربایجان,null,null,کبابی,رفسنجان،مطهری،بلوار مطهری
79,فست فود بی بی جون,5.0,1,فست‌فود,رفسنجان،مطهری،بلوار مطهری،خ حجت، بین حجت 18 و امیرکبیر غربی
80,پیتزا بلوط,null,null,فست‌فود,رفسنجان،مطهری،خ ابوذر
81,رستوران,null,null,رستوران,رفسنجان،ملا صدرا،جاده رفسنجان
82,فست فود منوبابام,null,null,فست‌فود,رفسنجان،شریعتی،میدان انقلاب،خ انقلاب
83,سفره خانه هفت خان,5.0,1,سفره خانه‌ی سنتی,رفسنجان،مصطفی خمینی،خ شهید کشاورزی ۶
84,فست فود چوریک,null,null,فست‌فود,رفسنجان،مطهری،بلوار مطهری
85,پیتزا مثلث,1.0,1,رستوران,رفسنجان،مطهری،بلوار طالقانی
86,کبابی بناب خلیل کبابی,5.0,1,کبابی,رفسنجان،شریعتی،بلوار هفده شهریور
87,فست فود مکس,null,null,فست‌فود,رفسنجان،شریعتی،خ شریعتی غربی،خ بهشتی،خ شهدا
88,رستوران باب الحوائج,null,null,رستوران,رفسنجان،مطهری،بزرگراه خلیج فارس،کنارگذر خلیج فارس،خ حجت
89,رستوران امیر,5.0,2,رستوران,رفسنجان،مطهری،بزرگراه خلیج فارس،کنارگذر خلیج فارس،خ ارسلان
90,کبابسرای ایرانی,null,null,رستوران,رفسنجان،مطهری،بلوار مطهری،خ شهید احمد بازماندگان
91,جعبه سوخاری,null,null,فست‌فود,رفسنجان،مطهری،خ هفده شهریور
92,کافه فلور,null,null,کافه رستوران,رفسنجان بلوار سید جمال الدین اسد آبادی روبروی شال و روسری تاج دخت
93,ایستگاه,null,null,رستوران,رفسنجان،مطهری،بلوار مطهری
94,کلبه دورهمی نخل رستوران ),3.3,10,رستوران,رفسنجان، طالقانی ۲۵
95,کافه,null,null,کافه رستوران,رفسنجان،آزادی،بلوار آزادی،بوستان نماز
96,رستوران دیزی بار,null,null,رستوران,رفسنجان،مطهری،خ امیر کبیر غربی
97,پاچینی نمکدون,null,null,رستوران,رفسنجان،مطهری،خ پور محمدی ۲،خ معلم ۱۴،خ امیرکبیر شرقی ۲۹
98,مغازه کبابی حاج محمد شاکری و پسران,5.0,1,کبابی,رفسنجان،شریعتی،میدان انقلاب،خ انقلاب
99,ساندویچ ویلا,null,null,فست‌فود,رفسنجان،مصطفی خمینی،میدان نهم دی،خ رجایی
100,سفره خانه ‌‌‌‌سنتی/امام‌رضا/,5.0,2,سفره خانه‌ی سنتی,کرمان‌،رفسنجان،بلوار،امام‌رضا،جنب‌شرکت‌مسافربری‌ایلیا‌سفر
101,کبابی و جگرکی بهار,null,null,کبابی,رفسنجان،ملا صدرا،خ پرستار،خ پرستار ۹،خ آیت الله صدر ۴
102,رستوران ما,null,null,رستوران,رفسنجان،امام علی،بلوار طالقانی،خ ابوذر ۱۷
103,فست فود سوپر پتیتو,5.0,1,فست‌فود,رفسنجان،سه راه امیرکبیر غربی،ابتدای خیابان ابوذر
104,فست فود کلبه,5.0,1,رستوران,رفسنجان،مصطفی خمینی،بلوار حسینی
105,چلو کبابی دای ولی گلپایگانی,5.0,2,کبابی,رفسنجان،ملا صدرا،خ میرزایی
106,پیتزا ملون,5.0,2,فست‌فود,رفسنجان،امام علی،بلوار امام‌علی،خ امام علی ۱‍۳
107,هانی مکث,null,null,فست‌فود,رفسنجان،امام علی،بلوار مفتح
108,رستوران پیمان,3.0,2,رستوران,رفسنجان،مطهری،خ مطهری ۳،خ مدرس ۲،خ مطهری ۱
109,کباب بره مهدی,null,null,کبابی,رفسنجان،مطهری،بلوار مطهری
110,ساندویچ خوشا شیراز,null,null,فست‌فود,رفسنجان،مطهری،بلوار مطهری،خ آب
111,پیتزا آریا,null,null,فست‌فود,رفسنجان،مطهری،بلوار طالقانی
112,کول کاپ,4.0,1,فست‌فود,رفسنجان،مطهری،خیابان ابوذر
113,زرین مشرق زمین,4.4,5,رستوران,رفسنجان،امام رضا،بلوار اقتصاد،خ ثارالله،خ امام خمینی
114,کافه رستوران نشاط,null,null,کافه رستوران,رفسنجان،مطهری،بلوار مطهری
115,نان داغ کباب داغ حیدربابا,null,null,رستوران,رفسنجان،خ بسیج ، بین کوچه ۳ و ۵
116,مجموعه مکران,null,null,رستوران,رفسنجان،مطهری،بلوار جمهوری
117,ساندویچ و فلافل پویا,null,null,فست‌فود,رفسنجان،شریعتی،خ شریعتی شرقی
118,کبابی دایی مهدی گلپایگانی,null,null,کبابی,رفسنجان،مطهری،خ امیر کبیر غربی
119,رستوران پالیز,2.0,1,رستوران,رفسنجان،آزادی،خ آیت‌الله هاشمی ۱۸
120,سفره خانه سنتی یاس کبود,5.0,2,سفره خانه‌ی سنتی,رفسنجان،مصطفی خمینی،خ شهید حسن اکبری نژاد،خ شهید حسن اکبری نژاد ۶،بلوار شهید کشاورزی
121,پیتزا حامی,null,null,فست‌فود,رفسنجان،بلوار مفتح
122,رستوران گلها,null,null,رستوران,رفسنجان،مطهری،بلوار طالقانی بین ابوذر ۱۹ و ابوذر ۲۳
123,پیتزا پورتلند,3.0,2,فست‌فود,رفسنجان،مطهری،بلوار جمهوری بین ولایت و ابوذر ۱۲
124,سرای سید یحیی,5.0,1,رستوران,رفسنجان،شریعتی،خ علامه امینی ۱۷،خ شیخ بهایی ۸
125,کافه دالان دارا,null,null,کافه رستوران,رفسنجان،شریعتی،میدان قدس،خ امام خمینی،خ یازدهم
126,سفره سرای خان دایی,null,null,رستوران,رفسنجان،شریعتی،خ کارگر ۷۴
127,رستوران عمارت خاتون,5.0,6,رستوران,رفسنجان،شریعتی،میدان آذر،خ انصاری
128,ساندویچی پسرخاله ها,null,null,فست‌فود,رفسنجان،مطهری،بزرگراه خلیج فارس
129,پیتزا رز,null,null,فست‌فود,رفسنجان بلوار مصطفی خمینی خیابان شهید کاظمی
130,پیتزا گلبرگ,null,null,فست‌فود,رفسنجان،شریعتی،خ دانش‌آموز،خ مصطفی خمینی ۲۸
131,فست فود رویال زیتون,null,null,فست‌فود,رفسنجان،ملا صدرا،میدان بسیج
132,پیتزا تا ب تا,3.3,3,فست‌فود,رفسنجان،مطهری،بلوار طالقانی،خ جانبازان ۲۲
133,چلوکباب سماق,null,null,رستوران,رفسنجان،مصطفی خمینی،خ مصطفی خمینی ۳۱
134,کباب بناب آذربایجان,null,null,کبابی,رفسنجان،مطهری،خ امیر کبیر شرقی
135,کافه کباب تابه,null,null,کبابی,رفسنجان،شریعتی،خ نخعی ۱۴،خ محمدرضایی ۲۶،خ نخعی ۱۲
136,کباب ساطوری بناب,null,null,کبابی,رفسنجان،امام علی،بلوار امام‌علی
137,پیتزا عقیق,null,null,فست‌فود,رفسنجان،ملا صدرا،خ آفتاب
138,غذاکده خانوادگی کدبانو,5.0,1,رستوران,رفسنجان،مطهری،بلوار مطهری بین پرستار و میدان شهید قاسم سلیمانی
139,رستوران تک ستاره شیراز,null,null,رستوران,رفسنجان،مطهری،میدان شهید قاسم سلیمانی،خ شهدا
140,رستوران سرو,null,null,رستوران,رفسنجان،آزادی،خ شهید شاه نظری،خ آیت الله هاشمی ۲
141,فست فود ایرانویچ IRANWICH,null,null,فست‌فود,رفسنجان،مطهری،خ طالقانی ۵۶،خ امیر کبیرغربی ۳۱،خ طالقانی ۵۴
142,کباب سرای شهباز,null,null,کبابی,رفسنجان،آزادی،خ شهید شاه نظری،خ آیت الله هاشمی ۲
143,رستوران ساربان,null,null,رستوران,رفسنجان،آزادی،جاده محمد آباد میثم،جاده محمد آباد میثم
144,کافه قاصدک,null,null,رستوران,رفسنجان،ملا صدرا،خ شریعتی غربی،خ بنفشه
