Name,Location,Discount,Rate,Review,Category,Minimum Purchase
قهوه رومه لند,رفسنجان، میدان شهید زینعلی، بلوار کارگر جنوبی، نبش کارگر ۹، قهوه رومه لند,No Discount,جدید,,Not Available,"۶۰,۰۰۰ تومان"
کافه آتیش کش,خیابان بستان، نبش کوچه۱۱,No Discount,جدید,,"نوشیدنی شرکتی, نوشیدنی","۴۵,۰۰۰ تومان"
کافه صبحانه منصور,ششم بهمن، خیابان امام خمینی، بلوار ۱۷ شهریور، پلاک ۲۴۶، کافه صبحانه منصور,No Discount,جدید,,"نوشیدنی شرکتی, نوشیدنی, صبحانه سنتی, کباب, دل و جگر","۵۰,۰۰۰ تومان"
فست فود قارچ ویچ,بلوار طالقانی، جنب فروشگاه رفاه، طبقه همکف، فست فود قارچ ویچ,No Discount,۱.۸,۱,"نوشیدنی شرکتی, نوشیدنی, سوخاری, برگر","۱۲۵,۰۰۰ تومان"
خانه برگر,قطب آباد، خیابان بنفشه، کوچه بنفشه ۱۷، پلاک ۱۳، طبقه همکف، خانه برگر,۳۰%,۴.۴,,"فست فود, برگر, نوشیدنی","۱۷۰,۰۰۰ تومان"
مرغ شکم پرهمت,بلوار شهید محمدی، پلاک ۱۳۷، مرغ شکم پرهمت,No Discount,جدید,,"نوشیدنی شرکتی, نوشیدنی","۶۰,۰۰۰ تومان"
کبابی دایی ولی گلپایگانی,خیابان عدالت، نبش کوچه شهید میرزایی ۲، کبابی دایی ولی گلپایگانی,No Discount,۳.۵,,"نوشیدنی شرکتی, نوشیدنی, چلو کباب, کباب","۶۰,۰۰۰ تومان"
جعبه سوخاری,بلوار طالقانی، پلاک ۸۴، جعبه سوخاری,۳۰%,۳.۸,۱۲,"فست فود, سوخاری, نوشیدنی, برگر, ساندویچ","۶۰,۰۰۰ تومان"
فست فود تا به تا,بلوار طالقانی، روبروی پارک مادر، فست فود تا به تا,No Discount,۲.۸,۲,"نوشیدنی شرکتی, نوشیدنی, پیتزا آمریکایی, سوخاری","۹۰,۰۰۰ تومان"
فست فود داژو,خیابان مدرس، بعد از چهارراه موزه، رو به روی پروژه آفتاب، نبش کوچه ۱۳، فست فود داژو,۳۰%,۴.۲,۱۴,"فست فود, پیتزا آمریکایی, نوشیدنی, پیش غذا, برگر","۵۰,۰۰۰ تومان"
فست فود تاپ تنور,عباس آباد، کوچه ابوذر ۹/۱، خیابان ابوذر، طبقه همکف، فست فود تاپ تنور,۳۰%,۴.۴,۹,"فست فود, پیتزا ایتالیایی , نوشیدنی, برگر","۱۵۰,۰۰۰ تومان"
فست فود پورت لند,بلوارجمهوری، جنب پارک مادر، فست فود پورت لند,No Discount,جدید,,"فست فود, پیتزا آمریکایی, نوشیدنی, ساندویچ, برگر","۹۵,۰۰۰ تومان"
آشپزخانه و غذای بیرون بر همیشه بهار,خیایان شهید نوری، خیابان شهید غفاری، کوچه غفاری ۷، آشپزخانه و غذای بیرون بر همیشه بهار,۳۰%,۳.۷,۱۳,"نوشیدنی شرکتی, نوشیدنی, چلو پلو ایرانی, خورشت, چلو کباب, چلو خورشت","۵۰,۰۰۰ تومان"
رستوران زنجیره ای مصطفی کلبادی نژاد,بلوار مطهری، بعد از پمپ بنزین، رستوران زنجیره ای مصطفی کلبادی نژاد,۳۰%,۴.۸,۴,"نوشیدنی شرکتی, نوشیدنی, کباب","۸۰,۰۰۰ تومان"
جگرکی باباطاهر,خیابان مطهری، نبش کوچه ۴، روبروی بانک تجارت، جگرکی باباطاهر,۳۰%,۳.۹,۸,"نوشیدنی شرکتی, نوشیدنی, کباب","۶۰,۰۰۰ تومان"
فست فود کنج گلستان,علی آباد، خیابان شهید بهشتی، بن بست (عمارت گلستان)، پلاک ۱۰۱، فست فود کنج گلستان,No Discount,جدید,,"نوشیدنی شرکتی, نوشیدنی, پیتزا ایتالیایی , برگر, پیتزا آمریکایی, ساندویچ, پیش غذا","۹۰,۰۰۰ تومان"
غذای بیرون بر سرو,میدان آزادی، آزادی دوم، طبقه زیرین سوپرمارکت، غذای بیرون بر سرو,۳۰%,۳.۹,۴,"نوشیدنی شرکتی, نوشیدنی, چلو پلو ایرانی, چلو کباب","۵۰,۰۰۰ تومان"
مرغ بریانی گیلاس,سی متری، خیابان امیرکبیر، بلوار طالقانی، پلاک ۶۰۱، طبقه همکف، مرغ بریانی گیلاس,۳۰%,۴.۴,۱,"نوشیدنی شرکتی, نوشیدنی, بریان","۲۰۳,۰۰۰ تومان"
آشپزخانه و بیرون بر بمانادی,شهرک فرهنگیان، بلوار خلیج فارس، کوچه ترنج ۴، پلاک ۱۱، آشپزخانه و بیرون بر بمانادی,۳۰%,جدید,۲,"نوشیدنی شرکتی, نوشیدنی, چلو کباب, چلو پلو ایرانی, چلو خورشت , کباب","۹۰,۰۰۰ تومان"
فست فود امپراطور,رفسنجان، بلوار طالقانی، طالقانی ۳۰، فست فود امپراطور,۳۰%,۴.۶,۸,"فست فود, پیتزا آمریکایی, پیتزا ایتالیایی , برگر, نوشیدنی","۱۰۰,۰۰۰ تومان"
